EDINET CODE,証券コード,会社名,33業種区分,17業種区分,規模区分
E02652,80350,東京エレクトロン株式会社,電気機器,電機・精密 ,2
E05619,12340,株式会社住宅あんしん保証,,,
E03672,,株式会社神奈川銀行,,,
E00989,49020,コニカミノルタ株式会社,電気機器,電機・精密 ,4
E02467,78440,株式会社マーベラス,情報・通信業,情報通信・サービスその他 ,6
E02994,33920,デリカフーズ株式会社,卸売業,商社・卸売 ,7
E04211,90550,株式会社アルプス物流,陸運業,運輸・物流 ,
E01164,79950,日本バルカー工業株式会社,化学,素材・化学 ,7
E05363,45640,オンコセラピー・サイエンス株式会社,医薬品,医薬品 ,
E00995,79710,東リ株式会社,化学,素材・化学 ,7
E01260,54460,北越メタル株式会社,鉄鋼,鉄鋼・非鉄 ,
E31958,61850,ソネット・メディア・ネットワークス株式会社,サービス業,情報通信・サービスその他 ,
